tipo_celular,module_size,RPL7_MM,RPL7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.391,77.0,98,37,37.76,3.46 (2.71-4.22),61,62.24,3.02 (2.43-3.62),26.54,5.52
T cells 18,506.0,0.314,78.0,225,37,16.44,3.52 (2.79-4.26),188,83.56,3.63 (3.37-3.89),22.73,4.98
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.307,91.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56),30.82,15.41
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,67.0,0.146,32.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916.0,0.354,79.0,302,18,5.96,4.06 (2.91-5.21),284,94.04,3.98 (3.75-4.20),29.24,9.48
oligodendrocytes 20,938.0,0.125,49.0,169,22,13.02,3.12 (2.41-3.82),147,86.98,3.54 (3.31-3.77),13.63,4.13
GABA like neurons 14,2402.0,0.531,91.0,455,43,9.45,2.59 (1.99-3.19),412,90.55,4.58 (4.40-4.76),22.91,7.37
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.292,91.0,235,17,7.23,4.23 (3.37-5.09),218,92.77,3.78 (3.54-4.03),25.10,6.25
oligodendrocytes 10,483.0,0.315,84.0,129,23,17.83,4.79 (3.92-5.67),106,82.17,3.18 (2.77-3.60),30.10,16.82
connective tissue cells 21,301.0,0.43,64.0,158,19,12.03,3.36 (2.50-4.22),139,87.97,4.44 (4.04-4.83),29.23,4.04
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.173,32.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02),1.51,12.77
da neurons 6,729.0,0.156,52.0,182,29,15.93,3.73 (2.90-4.56),153,84.07,3.62 (3.36-3.88),20.74,6.20
astrocytes microglia 23,61.0,0.377,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.221,73.0,252,48,19.05,2.88 (2.24-3.53),204,80.95,4.42 (4.19-4.66),18.39,5.81
microglia 1,406.0,0.405,78.0,278,13,4.68,4.17 (3.08-5.27),265,95.32,4.37 (4.09-4.65),40.39,5.09
oligodendrocytes 3,303.0,0.216,77.0,154,18,11.69,4.72 (3.87-5.58),136,88.31,3.47 (3.14-3.81),38.89,8.26
oligodendrocytes 2,526.0,0.266,51.0,213,10,4.69,4.48 (3.35-5.61),203,95.31,3.95 (3.67-4.23),44.56,6.13
