tipo_celular,module_size,SS18L1_MM,SS18L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.121,59.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,666.0,0.122,18.0,127,6,4.72,1.66 (0.86-2.46),121,95.28,4.00 (3.66-4.33),5.30,5.86
GABA neurons expressing GLU receptors 22,1069.0,0.114,16.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,380.0,0.18,56.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,215.0,0.079,8.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.034,6.0,18,9,50.0,0.97 (0.45-1.48),9,50.0,2.79 (1.85-3.73),5.00,2.58
GABA like neurons 14,3052.0,0.165,72.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.05,18.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,3303.0,0.1,75.0,276,42,15.22,2.06 (1.83-2.30),234,84.78,3.91 (3.68-4.15),9.35,4.35
oligodendrocytes 10,1277.0,0.046,9.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.043,11.0,96,14,14.58,3.92 (2.83-5.00),82,85.42,3.55 (3.05-4.04),3.45,3.86
oligodendrocytes 16,84.0,0.171,44.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.283,34.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.177,96.0,104,21,20.19,1.63 (1.26-1.99),83,79.81,3.21 (2.91-3.51),11.91,3.75
oligodendrocytes 0,2078.0,0.115,51.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96),6.18,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.082,38.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.158,82.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
