tipo_celular,module_size,NUP205_MM,NUP205_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.208,42.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624.0,0.158,54.0,142,2,1.41,4.52 (4.52-4.52),140,98.59,3.19 (2.92-3.46),4.74,4.29
astrocytes 5,1656.0,0.144,90.0,136,2,1.47,4.17 (NA-NA),134,98.53,3.20 (2.93-3.47),1.49,5.04
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,35,9.92,2.14 (1.70-2.59),318,90.08,4.14 (3.96-4.32),26.46,6.04
GABA neurons expressing GLU receptors 22,1069.0,0.211,80.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.185,60.0,39,3,7.69,2.25 (1.54-2.96),36,92.31,3.03 (2.44-3.63),3.58,2.48
da like neurons 11,140.0,0.254,61.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.061,3.0,297,6,2.02,4.34 (4.15-4.54),291,97.98,3.66 (3.45-3.87),3.27,5.56
oligodendrocytes 20,358.0,0.385,97.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052.0,0.162,69.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,283.0,0.155,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.057,22.0,276,23,8.33,2.44 (1.99-2.89),253,91.67,3.66 (3.43-3.89),12.95,4.40
oligodendrocytes 10,2107.0,0.125,41.0,358,32,8.94,2.14 (1.62-2.65),326,91.06,4.07 (3.88-4.26),27.85,7.67
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.116,76.0,105,17,16.19,2.08 (1.52-2.63),88,83.81,3.45 (3.08-3.82),6.99,3.40
oligodendrocytes 16,71.0,0.13,12.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.247,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.161,80.0,104,12,11.54,1.75 (1.10-2.41),92,88.46,3.02 (2.73-3.31),14.63,4.19
oligodendrocytes 0,2078.0,0.136,90.0,238,10,4.2,3.41 (1.99-4.83),228,95.8,3.65 (3.42-3.87),6.21,4.97
microglia 1,813.0,0.111,44.0,79,2,2.53,1.99 (1.51-2.47),77,97.47,3.13 (2.72-3.54),6.65,7.93
oligodendrocytes 3,854.0,0.068,23.0,76,4,5.26,3.35 (1.29-5.42),72,94.74,2.74 (2.42-3.07),1.85,4.88
oligodendrocytes 2,1630.0,0.136,37.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
