tipo_celular,module_size,WRNIP1_MM,WRNIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.333,91.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624.0,0.166,62.0,142,2,1.41,3.03 (2.67-3.40),140,98.59,3.21 (2.94-3.48),1.88,4.33
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,34,9.63,1.66 (1.26-2.05),319,90.37,4.18 (4.00-4.35),23.82,6.38
GABA neurons expressing GLU receptors 22,567.0,0.112,12.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,97.0,0.153,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,265.0,0.083,4.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,658.0,0.056,2.0,120,4,3.33,2.90 (1.58-4.22),116,96.67,4.68 (4.36-4.99),3.95,3.64
oligodendrocytes 20,233.0,0.212,60.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.153,26.0,455,18,3.96,0.94 (0.60-1.27),437,96.04,4.49 (4.32-4.67),22.64,8.27
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.173,100.0,276,29,10.51,2.07 (1.65-2.49),247,89.49,3.77 (3.54-3.99),8.17,4.75
oligodendrocytes 10,735.0,0.066,25.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),2.03,8.97
connective tissue cells 21,92.0,0.308,63.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.141,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.079,15.0,122,9,7.38,1.38 (0.55-2.21),113,92.62,4.27 (3.89-4.65),3.36,3.49
astrocytes microglia 23,52.0,0.382,95.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.134,87.0,238,7,2.94,2.63 (1.49-3.78),231,97.06,3.67 (3.45-3.90),8.36,4.92
microglia 1,958.0,0.086,13.0,290,6,2.07,1.35 (0.90-1.80),284,97.93,3.88 (3.65-4.11),5.25,5.00
oligodendrocytes 3,681.0,0.095,50.0,87,22,25.29,1.55 (1.27-1.83),65,74.71,2.97 (2.67-3.28),4.88,4.03
oligodendrocytes 2,1630.0,0.181,99.0,154,2,1.3,3.29 (3.15-3.42),152,98.7,3.24 (2.97-3.51),2.95,3.60
