tipo_celular,module_size,TRIM8_MM,TRIM8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.378,99.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624.0,0.085,7.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.127,75.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,628.0,0.114,13.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,487.0,0.2,45.0,73,4,5.48,2.34 (0.49-4.19),69,94.52,2.78 (2.39-3.18),1.92,7.64
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,172.0,0.092,7.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.074,6.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,271.0,0.106,16.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402.0,0.246,54.0,455,28,6.15,2.51 (1.78-3.25),427,93.85,4.51 (4.33-4.69),19.06,8.16
astrocytes 8,1266.0,0.098,66.0,66,20,30.3,2.13 (1.48-2.79),46,69.7,3.77 (3.32-4.22),3.92,2.53
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,58,21.01,2.52 (2.16-2.89),218,78.99,3.85 (3.61-4.09),10.20,3.75
oligodendrocytes 10,735.0,0.067,26.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,142.0,0.297,37.0,55,6,10.91,0.94 (0.54-1.34),49,89.09,4.09 (3.23-4.96),2.52,3.38
astrocytes 15,1401.0,0.049,16.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,65.0,0.273,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.306,50.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,721.0,0.192,98.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.12,25.0,127,16,12.6,2.29 (1.85-2.73),111,87.4,3.23 (2.74-3.72),3.80,6.64
microglia 1,1615.0,0.092,25.0,161,66,40.99,2.62 (2.19-3.05),95,59.01,3.80 (3.51-4.09),8.83,3.07
oligodendrocytes 3,681.0,0.064,20.0,87,42,48.28,2.19 (1.86-2.52),45,51.72,2.97 (2.57-3.38),5.47,3.09
oligodendrocytes 2,1630.0,0.182,99.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
