tipo_celular,module_size,ACVR2B_MM,ACVR2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,50,14.16,2.51 (2.15-2.87),303,85.84,4.20 (4.01-4.39),14.34,7.03
GABA neurons expressing GLU receptors 22,703.0,0.234,78.0,23,2,8.7,2.85 (2.21-3.49),21,91.3,2.02 (1.24-2.79),3.61,3.96
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.244,75.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.156,52.0,74,14,18.92,2.25 (2.01-2.49),60,81.08,3.14 (2.67-3.60),3.44,12.15
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.038,11.0,103,5,4.85,3.69 (2.68-4.70),98,95.15,5.67 (5.28-6.06),2.85,3.10
oligodendrocytes 10,1277.0,0.045,9.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.311,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.368,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.102,25.0,238,15,6.3,2.53 (2.09-2.97),223,93.7,3.73 (3.49-3.96),7.80,4.84
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.089,45.0,87,40,45.98,2.43 (2.08-2.78),47,54.02,2.73 (2.32-3.15),4.01,4.44
oligodendrocytes 2,1630.0,0.141,49.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
