tipo_celular,module_size,TPM4_MM,TPM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.254,73.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91),7.87,2.89
T cells 18,477.0,0.212,79.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.359,97.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666.0,0.268,88.0,127,10,7.87,4.79 (3.21-6.36),117,92.13,3.79 (3.44-4.13),3.34,6.05
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.166,67.0,135,12,8.89,1.86 (1.04-2.67),123,91.11,3.26 (2.95-3.58),6.19,3.51
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.229,71.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,253.0,0.19,67.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.076,4.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.329,99.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,6,2.17,1.28 (0.77-1.80),270,97.83,3.60 (3.38-3.81),8.07,5.04
oligodendrocytes 10,483.0,0.096,40.0,129,7,5.43,4.21 (3.48-4.94),122,94.57,3.39 (2.98-3.80),17.49,19.29
connective tissue cells 21,139.0,0.214,10.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1401.0,0.14,86.0,96,23,23.96,4.49 (3.69-5.29),73,76.04,3.41 (2.90-3.92),4.38,3.61
oligodendrocytes 16,71.0,0.11,9.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.527,92.0,120,14,11.67,2.03 (0.92-3.15),106,88.33,3.75 (3.46-4.05),3.92,2.65
astrocytes 4,514.0,0.473,98.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,309.0,0.132,49.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480.0,0.238,70.0,163,4,2.45,5.85 (3.59-8.11),159,97.55,3.68 (3.41-3.94),2.02,5.25
oligodendrocytes 3,639.0,0.112,63.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,131.0,0.108,5.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
