tipo_celular,module_size,SH3KBP1_MM,SH3KBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.41,88.0,140,25,17.86,4.33 (3.77-4.89),115,82.14,4.61 (4.29-4.94),5.03,3.22
T cells 18,388.0,0.095,15.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.1,19.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,400.0,0.119,11.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11),6.35,2.44
GLU like neurons 17,1316.0,0.082,13.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,209.0,0.205,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.213,50.0,62,3,4.84,4.79 (2.48-7.11),59,95.16,4.00 (3.55-4.46),2.61,4.29
oligodendrocytes 20,322.0,0.22,82.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300.0,0.224,58.0,306,29,9.48,3.29 (2.57-4.01),277,90.52,5.38 (5.12-5.64),7.01,6.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,103.0,0.498,75.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107.0,0.298,89.0,358,18,5.03,1.20 (0.78-1.61),340,94.97,4.05 (3.87-4.24),24.04,8.70
connective tissue cells 21,106.0,0.295,50.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,149.0,0.15,25.0,70,1,1.43,4.35 (NA-NA),69,98.57,5.68 (5.20-6.16),3.28,3.32
da neurons 6,398.0,0.104,24.0,138,23,16.67,3.00 (2.22-3.79),115,83.33,5.22 (4.85-5.59),2.84,2.71
astrocytes microglia 23,229.0,0.463,93.0,99,10,10.1,4.09 (3.04-5.14),89,89.9,4.32 (3.96-4.67),4.08,3.14
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.13,38.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,315.0,0.288,89.0,144,18,12.5,4.25 (3.71-4.80),126,87.5,4.49 (4.15-4.84),3.29,4.34
oligodendrocytes 3,242.0,0.172,69.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,347.0,0.231,66.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
