tipo_celular,module_size,SRGAP2_MM,SRGAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.288,65.0,140,39,27.86,4.57 (3.99-5.16),101,72.14,4.55 (4.23-4.87),4.30,3.25
T cells 18,610.0,0.188,74.0,98,10,10.2,0.97 (0.26-1.69),88,89.8,3.36 (3.06-3.66),9.62,3.40
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.209,100.0,353,22,6.23,1.91 (1.21-2.61),331,93.77,4.04 (3.86-4.22),22.98,7.07
GABA neurons expressing GLU receptors 22,1069.0,0.215,82.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,795.0,0.117,42.0,80,4,5.0,3.98 (2.13-5.83),76,95.0,5.81 (5.40-6.22),3.31,3.00
da like neurons 11,101.0,0.292,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75.0,0.113,13.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,658.0,0.266,68.0,120,41,34.17,4.41 (3.88-4.95),79,65.83,4.72 (4.33-5.11),4.42,3.25
oligodendrocytes 20,322.0,0.061,20.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.122,36.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,7,2.54,1.69 (0.87-2.51),269,97.46,3.60 (3.38-3.81),5.12,5.11
oligodendrocytes 10,2107.0,0.384,97.0,358,27,7.54,2.06 (1.38-2.73),331,92.46,4.04 (3.85-4.23),18.36,8.75
connective tissue cells 21,104.0,0.294,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,108.0,0.32,89.0,5,4,80.0,4.09 (2.79-5.38),1,20.0,3.52 (NA-NA),2.75,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.427,87.0,99,21,21.21,4.54 (3.95-5.13),78,78.79,4.23 (3.84-4.63),4.02,3.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.122,18.0,300,12,4.0,3.44 (3.03-3.86),288,96.0,3.81 (3.59-4.02),4.39,4.15
microglia 1,315.0,0.308,92.0,144,24,16.67,4.67 (3.84-5.49),120,83.33,4.42 (4.09-4.75),3.48,4.35
oligodendrocytes 3,639.0,0.066,23.0,15,7,46.67,1.99 (-0.33-4.30),8,53.33,4.45 (3.30-5.60),2.46,2.01
oligodendrocytes 2,921.0,0.124,28.0,200,2,1.0,2.87 (2.83-2.90),198,99.0,3.63 (3.36-3.90),2.92,3.47
