tipo_celular,module_size,CC2D1A_MM,CC2D1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.148,90.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,51,14.45,2.00 (1.70-2.29),302,85.55,4.33 (4.15-4.50),21.33,5.82
GABA neurons expressing GLU receptors 22,599.0,0.152,22.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1316.0,0.148,71.0,101,1,0.99,5.64 (NA-NA),100,99.01,3.02 (2.67-3.37),3.54,3.05
da like neurons 11,853.0,0.234,92.0,133,54,40.6,2.30 (1.99-2.61),79,59.4,4.13 (3.71-4.55),5.25,3.42
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.072,8.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348.0,0.423,98.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22),2.05,3.47
GABA like neurons 14,2090.0,0.28,97.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.113,74.0,66,19,28.79,1.86 (1.31-2.42),47,71.21,3.91 (3.48-4.33),3.79,2.61
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,38,13.77,1.83 (1.62-2.04),238,86.23,3.91 (3.68-4.13),9.29,4.44
oligodendrocytes 10,735.0,0.033,3.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.096,20.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,155.0,0.229,58.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.279,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.185,95.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.106,33.0,238,12,5.04,2.67 (1.92-3.41),226,94.96,3.70 (3.47-3.92),6.58,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.067,22.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.155,77.0,154,2,1.3,5.02 (3.80-6.24),152,98.7,3.22 (2.95-3.48),1.86,3.62
