tipo_celular,module_size,DHX57_MM,DHX57_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.092,16.0,136,3,2.21,2.65 (0.18-5.12),133,97.79,3.22 (2.95-3.49),5.27,4.98
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,8,2.27,2.31 (1.18-3.44),345,97.73,3.93 (3.74-4.12),12.24,7.97
GABA neurons expressing GLU receptors 22,1069.0,0.223,86.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,300.0,0.142,15.0,16,1,6.25,4.07 (NA-NA),15,93.75,1.93 (1.07-2.79),1.50,2.53
da like neurons 11,102.0,0.245,47.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74),NA,1.92
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.152,49.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,577.0,0.036,6.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,3303.0,0.148,98.0,276,8,2.9,2.53 (1.46-3.60),268,97.1,3.58 (3.36-3.80),8.19,5.02
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,152.0,0.137,5.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,418.0,0.039,18.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.325,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.12,8.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
