tipo_celular,module_size,PEX5L_MM,PEX5L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.499,94.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229.0,0.263,76.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.675,100.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68),1.54,4.33
GLU like neurons 17,795.0,0.115,41.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,191.0,0.405,78.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10),1.90,4.16
GABA neurons expressing GABA receptors 13,288.0,0.4,92.0,93,4,4.3,1.11 (0.68-1.54),89,95.7,5.39 (4.92-5.85),2.79,4.00
endothelial cells 9,450.0,0.723,98.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,676.0,0.2,43.0,110,5,4.55,1.33 (0.79-1.88),105,95.45,5.24 (4.82-5.66),3.77,3.51
GABA like neurons 14,1300.0,0.151,23.0,306,24,7.84,2.16 (1.73-2.59),282,92.16,5.43 (5.18-5.67),4.87,6.86
astrocytes 8,771.0,0.81,100.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.399,93.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,204.0,0.576,92.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250.0,0.804,99.0,117,4,3.42,1.59 (1.30-1.88),113,96.58,5.51 (5.13-5.89),3.19,3.76
astrocytes 15,458.0,0.63,100.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,65.0,0.111,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.331,90.0,138,15,10.87,2.34 (1.66-3.01),123,89.13,5.19 (4.83-5.55),2.89,2.72
astrocytes microglia 23,54.0,0.569,87.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102.0,0.418,89.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,187.0,0.436,99.0,14,1,7.14,NA,13,92.86,5.53 (4.92-6.14),1.74,2.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.353,100.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,921.0,0.193,98.0,200,11,5.5,3.42 (2.81-4.04),189,94.5,3.63 (3.35-3.92),5.37,3.35
