tipo_celular,module_size,PNRC1_MM,PNRC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.175,43.0,102,24,23.53,2.42 (1.87-2.97),78,76.47,3.85 (3.44-4.27),3.89,2.77
T cells 18,506.0,0.214,60.0,225,10,4.44,1.77 (1.10-2.45),215,95.56,3.71 (3.45-3.96),8.17,7.89
astrocytes 5,328.0,0.141,34.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.134,28.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.14,75.0,275,40,14.55,2.22 (1.73-2.71),235,85.45,4.39 (4.12-4.65),9.34,5.29
oligodendrocytes 20,330.0,0.135,32.0,36,11,30.56,2.07 (1.60-2.54),25,69.44,1.85 (1.38-2.31),1.94,3.65
GABA like neurons 14,2402.0,0.234,52.0,455,19,4.18,1.43 (0.84-2.03),436,95.82,4.50 (4.32-4.68),22.05,8.26
astrocytes 8,603.0,0.07,46.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,3303.0,0.08,51.0,276,29,10.51,2.18 (1.66-2.71),247,89.49,3.75 (3.53-3.97),7.85,4.79
oligodendrocytes 10,483.0,0.12,50.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142.0,0.323,52.0,55,6,10.91,0.94 (0.54-1.34),49,89.09,4.09 (3.23-4.96),2.52,3.38
astrocytes 15,1401.0,0.094,58.0,96,5,5.21,2.55 (1.47-3.63),91,94.79,3.68 (3.21-4.15),4.24,3.77
oligodendrocytes 16,122.0,0.218,61.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,518.0,0.075,12.0,122,8,6.56,1.43 (0.49-2.38),114,93.44,4.23 (3.84-4.61),2.93,3.52
astrocytes microglia 23,110.0,0.333,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.167,87.0,104,16,15.38,1.44 (0.99-1.89),88,84.62,3.15 (2.86-3.43),9.91,4.58
oligodendrocytes 0,613.0,0.203,90.0,127,13,10.24,2.18 (1.67-2.68),114,89.76,3.19 (2.73-3.66),3.47,6.60
microglia 1,1615.0,0.12,64.0,161,30,18.63,1.69 (1.28-2.09),131,81.37,3.74 (3.47-4.01),9.78,4.44
oligodendrocytes 3,681.0,0.106,61.0,87,29,33.33,1.98 (1.60-2.37),58,66.67,2.92 (2.59-3.26),4.33,4.20
oligodendrocytes 2,528.0,0.183,38.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
