tipo_celular,module_size,C3orf38_MM,C3orf38_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.206,73.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.149,93.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,7,1.98,0.50 (0.26-0.74),346,98.02,3.98 (3.80-4.16),59.57,7.02
GABA neurons expressing GLU receptors 22,1069.0,0.126,21.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.185,59.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,289.0,0.076,4.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.043,2.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,403.0,0.188,74.0,18,5,27.78,0.61 (0.32-0.89),13,72.22,2.37 (1.58-3.15),6.31,2.82
GABA like neurons 14,3052.0,0.218,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.098,36.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.156,100.0,276,4,1.45,1.29 (0.76-1.81),272,98.55,3.59 (3.37-3.80),8.40,5.06
oligodendrocytes 10,483.0,0.05,10.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,250.0,0.194,15.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,1401.0,0.031,4.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11),1.81,3.84
oligodendrocytes 16,74.0,0.426,99.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.273,25.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,1807.0,0.145,52.0,104,3,2.88,0.64 (0.08-1.20),101,97.12,2.93 (2.66-3.21),21.87,4.91
oligodendrocytes 0,2078.0,0.153,99.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,1615.0,0.117,61.0,161,7,4.35,0.50 (0.26-0.74),154,95.65,3.43 (3.17-3.69),21.48,4.70
oligodendrocytes 3,854.0,0.113,74.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.126,20.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
