tipo_celular,module_size,ESRRG_MM,ESRRG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.394,96.0,98,3,3.06,1.76 (0.79-2.74),95,96.94,4.71 (4.30-5.11),2.81,2.65
oligodendrocyte progenitor cells 7,436.0,0.205,84.0,219,1,0.46,2.43 (NA-NA),218,99.54,5.23 (4.94-5.52),8.21,4.59
GABA neurons expressing GLU receptors 22,823.0,0.295,95.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,795.0,0.275,91.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,101.0,0.44,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.29,93.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.3,92.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.123,14.0,306,11,3.59,1.85 (1.24-2.45),295,96.41,5.28 (5.02-5.53),5.34,6.76
astrocytes 8,279.0,0.282,51.0,78,12,15.38,2.90 (2.14-3.67),66,84.62,4.62 (4.18-5.06),3.02,2.65
oligodendrocyte progenitor cells 12,254.0,0.452,91.0,37,6,16.22,3.62 (2.50-4.74),31,83.78,4.71 (4.06-5.36),1.60,2.64
oligodendrocytes 10,1277.0,0.194,89.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,102.0,0.296,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.696,100.0,54,1,1.85,3.70 (NA-NA),53,98.15,3.68 (3.23-4.13),2.44,3.02
oligodendrocytes 16,149.0,0.112,6.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.529,98.0,46,3,6.52,NA,43,93.48,5.03 (4.47-5.59),1.78,3.31
astrocytes 4,161.0,0.305,92.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,187.0,0.164,49.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.183,84.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,348.0,0.153,27.0,114,2,1.75,3.06 (1.82-4.30),112,98.25,5.17 (4.75-5.58),2.95,4.42
