tipo_celular,module_size,P3H2_MM,P3H2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.261,91.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,26,7.37,1.88 (1.44-2.33),327,92.63,4.10 (3.92-4.28),35.66,5.87
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,795.0,0.154,62.0,80,1,1.25,2.43 (NA-NA),79,98.75,5.74 (5.34-6.14),4.06,3.00
da like neurons 11,289.0,0.242,73.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.027,3.0,36,4,11.11,1.97 (1.34-2.60),32,88.89,1.91 (1.53-2.30),5.12,2.88
GABA like neurons 14,2090.0,0.126,30.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),4.19,10.67
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.04,6.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.177,83.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.219,84.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.213,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,117.0,0.211,83.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,1615.0,0.199,99.0,161,22,13.66,1.79 (1.28-2.31),139,86.34,3.57 (3.29-3.84),16.29,3.71
oligodendrocytes 3,681.0,0.154,87.0,87,15,17.24,1.95 (1.42-2.48),72,82.76,2.73 (2.43-3.03),8.61,3.33
oligodendrocytes 2,921.0,0.167,90.0,200,2,1.0,2.10 (1.83-2.37),198,99.0,3.64 (3.37-3.91),4.59,3.45
