tipo_celular,module_size,ADCY8_MM,ADCY8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.134,32.0,32,2,6.25,5.16 (NA-NA),30,93.75,5.02 (4.50-5.54),1.58,3.94
oligodendrocyte progenitor cells 7,666.0,0.28,90.0,127,37,29.13,3.89 (3.34-4.44),90,70.87,3.79 (3.36-4.22),3.35,6.86
GABA neurons expressing GLU receptors 22,459.0,0.124,32.0,165,24,14.55,3.07 (2.15-3.99),141,85.45,5.37 (5.03-5.70),5.21,3.90
GLU like neurons 17,795.0,0.272,90.0,80,8,10.0,4.85 (2.97-6.73),72,90.0,5.78 (5.37-6.19),4.17,2.89
da like neurons 11,197.0,0.176,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.309,90.0,306,63,20.59,3.85 (3.27-4.42),243,79.41,5.47 (5.20-5.74),10.45,5.74
astrocytes 8,279.0,0.298,62.0,78,29,37.18,4.15 (3.45-4.85),49,62.82,4.43 (3.92-4.94),2.77,2.67
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,54,19.57,2.32 (2.05-2.60),222,80.43,3.93 (3.69-4.18),6.81,4.70
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.438,86.0,54,9,16.67,4.43 (3.11-5.76),45,83.33,3.53 (3.08-3.98),2.89,3.04
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.185,10.0,30,10,33.33,3.64 (1.77-5.51),20,66.67,6.42 (5.69-7.15),3.55,4.29
astrocytes 4,220.0,0.127,25.0,63,11,17.46,3.83 (1.87-5.79),52,82.54,5.31 (4.75-5.88),2.88,3.38
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
