tipo_celular,module_size,CSRP1_MM,CSRP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.247,91.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,328.0,0.131,31.0,128,2,1.56,3.83 (2.14-5.53),126,98.44,3.56 (3.22-3.91),10.99,6.69
oligodendrocyte progenitor cells 7,229.0,0.255,75.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288.0,0.14,33.0,93,12,12.9,3.49 (2.64-4.34),81,87.1,5.45 (4.92-5.98),3.40,4.03
endothelial cells 9,303.0,0.244,68.0,54,14,25.93,5.63 (4.81-6.45),40,74.07,4.59 (3.83-5.34),5.11,5.01
oligodendrocytes 20,298.0,0.11,40.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.091,60.0,89,4,4.49,2.61 (1.06-4.16),85,95.51,2.77 (2.41-3.13),6.93,6.00
oligodendrocyte progenitor cells 12,708.0,0.29,86.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,130.0,0.567,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,250.0,0.306,49.0,117,14,11.97,3.70 (3.01-4.39),103,88.03,5.70 (5.29-6.12),3.35,3.79
astrocytes 15,1768.0,0.118,77.0,105,9,8.57,1.48 (0.92-2.05),96,91.43,3.39 (3.04-3.73),5.35,3.85
oligodendrocytes 16,153.0,0.242,16.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398.0,0.167,57.0,138,16,11.59,3.28 (2.33-4.24),122,88.41,5.05 (4.67-5.43),3.09,2.69
astrocytes microglia 23,190.0,0.281,60.0,7,1,14.29,5.39 (NA-NA),6,85.71,4.73 (3.43-6.03),1.62,1.84
astrocytes 4,255.0,0.13,14.0,12,2,16.67,5.72 (NA-NA),10,83.33,4.40 (3.48-5.32),1.83,2.43
oligodendrocytes 0,546.0,0.375,97.0,252,23,9.13,1.97 (1.24-2.70),229,90.87,4.30 (4.06-4.54),21.84,6.84
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.161,94.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.384,93.0,175,12,6.86,4.07 (3.58-4.57),163,93.14,4.39 (4.03-4.76),13.19,3.99
