tipo_celular,module_size,MAGED2_MM,MAGED2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.197,68.0,164,6,3.66,2.90 (1.79-4.02),158,96.34,4.13 (3.79-4.46),4.20,7.65
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.273,76.0,410,14,3.41,2.49 (1.84-3.15),396,96.59,4.30 (4.11-4.49),12.16,7.35
GABA neurons expressing GABA receptors 13,357.0,0.132,33.0,237,4,1.69,NA,233,98.31,4.41 (4.18-4.64),4.11,4.19
endothelial cells 9,916.0,0.194,46.0,302,10,3.31,2.18 (0.87-3.48),292,96.69,4.02 (3.80-4.25),5.84,10.82
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.504,89.0,455,29,6.37,1.83 (1.32-2.34),426,93.63,4.54 (4.36-4.72),20.20,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.056,22.0,235,8,3.4,3.20 (2.35-4.05),227,96.6,3.84 (3.61-4.08),3.89,7.75
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.251,88.0,235,11,4.68,2.10 (1.18-3.02),224,95.32,4.04 (3.79-4.30),7.01,4.29
astrocytes microglia 23,127.0,0.364,81.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
