tipo_celular,module_size,G2E3_MM,G2E3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.212,45.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610.0,0.122,27.0,98,9,9.18,1.08 (0.39-1.77),89,90.82,3.35 (3.05-3.65),10.87,3.35
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,12,3.4,1.32 (0.66-1.98),341,96.6,4.01 (3.83-4.19),39.99,6.94
GABA neurons expressing GLU receptors 22,703.0,0.231,76.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,229.0,0.183,39.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,77.0,0.057,3.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.061,3.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,233.0,0.261,76.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.15,60.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,5,1.81,1.84 (0.92-2.77),271,98.19,3.58 (3.36-3.80),11.69,4.99
oligodendrocytes 10,2107.0,0.124,40.0,358,11,3.07,1.23 (0.54-1.93),347,96.93,3.97 (3.79-4.16),40.07,8.50
connective tissue cells 21,136.0,0.281,51.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.165,36.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.345,71.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,61.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86),2.14,5.03
microglia 1,1615.0,0.105,43.0,161,11,6.83,1.23 (0.54-1.93),150,93.17,3.46 (3.19-3.72),16.60,4.61
oligodendrocytes 3,743.0,0.09,61.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.115,9.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
