tipo_celular,module_size,GRIA2_MM,GRIA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.134,54.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,436.0,0.178,75.0,219,52,23.74,5.36 (4.83-5.88),167,76.26,5.17 (4.84-5.51),7.66,3.66
GABA neurons expressing GLU receptors 22,459.0,0.105,23.0,165,48,29.09,3.95 (3.23-4.68),117,70.91,5.41 (5.04-5.78),5.09,3.68
GLU like neurons 17,489.0,0.295,90.0,42,22,52.38,5.53 (4.91-6.16),20,47.62,6.34 (5.51-7.18),3.49,2.91
da like neurons 11,87.0,0.387,77.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,200.0,0.139,41.0,34,4,11.76,5.29 (1.59-8.99),30,88.24,3.75 (2.85-4.65),1.88,3.70
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.159,66.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300.0,0.047,2.0,306,65,21.24,4.20 (3.62-4.79),241,78.76,5.35 (5.06-5.63),10.52,5.68
astrocytes 8,727.0,0.242,96.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.121,56.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83),3.91,2.23
oligodendrocytes 10,806.0,0.153,48.0,261,24,9.2,4.50 (3.70-5.29),237,90.8,4.35 (4.09-4.60),6.50,6.02
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.165,60.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,199.0,0.158,42.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,448.0,0.142,81.0,43,3,6.98,6.09 (NA-NA),40,93.02,3.20 (2.69-3.71),1.58,3.61
astrocytes microglia 23,112.0,0.374,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.23,100.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,309.0,0.317,98.0,30,5,16.67,5.80 (5.47-6.12),25,83.33,6.15 (5.42-6.88),2.36,2.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.206,94.0,15,6,40.0,1.94 (-0.89-4.77),9,60.0,4.17 (3.04-5.31),2.64,1.94
oligodendrocytes 2,804.0,0.213,94.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12),2.95,3.41
