tipo_celular,module_size,CEP95_MM,CEP95_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.174,61.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,282.0,0.15,29.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141.0,0.135,55.0,166,5,3.01,1.23 (0.56-1.90),161,96.99,3.44 (3.19-3.69),4.84,4.54
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,10,2.83,1.41 (0.41-2.40),343,97.17,3.96 (3.78-4.15),26.47,7.53
GABA neurons expressing GLU receptors 22,823.0,0.166,42.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,685.0,0.067,9.0,135,3,2.22,1.23 (0.56-1.90),132,97.78,3.24 (2.93-3.55),2.88,3.77
da like neurons 11,204.0,0.115,24.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.148,66.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88),6.04,5.51
oligodendrocytes 20,938.0,0.117,45.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72),3.86,5.37
GABA like neurons 14,3052.0,0.154,63.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,1266.0,0.046,11.0,66,8,12.12,2.13 (0.64-3.62),58,87.88,3.36 (2.93-3.78),3.67,2.85
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,7,2.54,2.04 (0.72-3.36),269,97.46,3.58 (3.36-3.80),5.30,5.11
oligodendrocytes 10,2107.0,0.156,54.0,358,9,2.51,0.95 (0.43-1.48),349,97.49,3.94 (3.75-4.13),26.91,9.02
connective tissue cells 21,145.0,0.295,49.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,367.0,0.176,72.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,155.0,0.157,15.0,8,1,12.5,0.40 (NA-NA),7,87.5,3.29 (-0.08-6.66),2.02,1.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.211,3.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,787.0,0.165,75.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.151,99.0,238,1,0.42,NA,237,99.58,3.64 (3.42-3.86),1.76,5.04
microglia 1,958.0,0.128,73.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06),5.73,5.00
oligodendrocytes 3,854.0,0.095,57.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,921.0,0.155,79.0,200,1,0.5,NA,199,99.5,3.62 (3.36-3.89),2.96,3.47
