tipo_celular,module_size,VRK3_MM,VRK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.133,36.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,932.0,0.076,7.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,23,6.52,2.22 (1.59-2.84),330,93.48,4.04 (3.85-4.22),33.01,6.33
GABA neurons expressing GLU receptors 22,848.0,0.075,3.0,262,4,1.53,0.38 (0.04-0.71),258,98.47,4.20 (3.96-4.44),7.28,4.05
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.04,0.0,133,16,12.03,2.37 (1.57-3.16),117,87.97,3.40 (3.07-3.73),5.02,4.05
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.047,13.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.173,63.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.067,34.0,66,19,28.79,2.34 (1.66-3.03),47,71.21,3.67 (3.19-4.14),4.16,2.46
oligodendrocyte progenitor cells 12,708.0,0.066,22.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.041,5.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,118.0,0.321,67.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,268.0,0.037,8.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,81.0,0.044,0.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.303,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.129,24.0,104,13,12.5,2.03 (1.43-2.62),91,87.5,2.99 (2.69-3.30),14.21,4.14
oligodendrocytes 0,2078.0,0.097,17.0,238,4,1.68,2.16 (0.85-3.47),234,98.32,3.67 (3.44-3.89),9.72,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.051,10.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,1630.0,0.153,73.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
