tipo_celular,module_size,PRKACA_MM,PRKACA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.136,34.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47),4.44,4.91
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.085,14.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,296.0,0.096,4.0,251,7,2.79,3.81 (3.47-4.15),244,97.21,4.07 (3.83-4.32),2.15,6.27
GABA neurons expressing GLU receptors 22,599.0,0.27,76.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,1316.0,0.122,49.0,101,12,11.88,4.07 (3.01-5.13),89,88.12,2.92 (2.56-3.29),3.12,3.04
da like neurons 11,1220.0,0.13,29.0,410,50,12.2,3.65 (3.15-4.14),360,87.8,4.34 (4.14-4.54),10.93,7.04
GABA neurons expressing GABA receptors 13,77.0,0.187,61.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,586.0,0.13,29.0,62,7,11.29,3.43 (2.74-4.11),55,88.71,4.11 (3.63-4.60),2.67,4.40
oligodendrocytes 20,938.0,0.101,38.0,169,28,16.57,2.82 (2.28-3.35),141,83.43,3.59 (3.35-3.82),6.75,5.09
GABA like neurons 14,2402.0,0.168,30.0,455,63,13.85,3.02 (2.53-3.52),392,86.15,4.60 (4.41-4.78),16.77,7.56
astrocytes 8,1266.0,0.058,23.0,66,33,50.0,2.45 (1.96-2.94),33,50.0,4.15 (3.62-4.68),3.72,2.19
oligodendrocyte progenitor cells 12,218.0,0.027,3.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,806.0,0.178,57.0,261,31,11.88,3.42 (3.00-3.84),230,88.12,4.49 (4.23-4.75),5.82,6.10
connective tissue cells 21,111.0,0.307,59.0,26,7,26.92,3.40 (2.34-4.46),19,73.08,2.05 (1.31-2.80),2.36,2.10
astrocytes 15,338.0,0.131,35.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,81.0,0.224,57.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,307.0,0.095,26.0,95,12,12.63,4.68 (4.03-5.33),83,87.37,4.87 (4.38-5.35),1.87,3.58
astrocytes microglia 23,127.0,0.256,20.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807.0,0.129,23.0,104,39,37.5,2.14 (1.81-2.46),65,62.5,3.32 (2.95-3.68),8.90,3.29
oligodendrocytes 0,2078.0,0.078,3.0,238,17,7.14,3.38 (2.41-4.35),221,92.86,3.66 (3.43-3.88),8.85,4.73
microglia 1,480.0,0.107,7.0,163,19,11.66,3.79 (3.21-4.38),144,88.34,3.70 (3.41-3.99),4.60,5.24
oligodendrocytes 3,457.0,0.058,13.0,345,60,17.39,3.78 (3.42-4.14),285,82.61,4.40 (4.15-4.64),8.52,5.10
oligodendrocytes 2,1630.0,0.125,19.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
