tipo_celular,module_size,STX17_MM,STX17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.274,77.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,477.0,0.092,6.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.155,97.0,136,9,6.62,3.76 (3.33-4.18),127,93.38,3.17 (2.88-3.46),3.55,5.09
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,52,14.73,2.94 (2.46-3.42),301,85.27,4.10 (3.91-4.29),16.79,6.56
GABA neurons expressing GLU receptors 22,703.0,0.11,12.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.081,8.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.108,34.0,297,2,0.67,4.27 (3.13-5.40),295,99.33,3.67 (3.46-3.87),6.43,5.51
oligodendrocytes 20,233.0,0.301,85.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.148,58.0,125,2,1.6,3.81 (NA-NA),123,98.4,3.35 (3.02-3.67),1.84,8.72
astrocytes 8,727.0,0.047,8.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,32,11.59,3.21 (2.71-3.72),244,88.41,3.60 (3.36-3.84),8.86,4.62
oligodendrocytes 10,2107.0,0.149,51.0,358,41,11.45,2.84 (2.27-3.40),317,88.55,4.03 (3.83-4.23),16.60,8.55
connective tissue cells 21,101.0,0.378,88.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,443.0,0.283,98.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,71.0,0.285,92.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.302,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.177,96.0,104,22,21.15,2.89 (2.23-3.55),82,78.85,2.86 (2.54-3.17),7.12,4.93
oligodendrocytes 0,2078.0,0.13,82.0,238,19,7.98,4.13 (3.18-5.07),219,92.02,3.59 (3.37-3.82),6.34,4.91
microglia 1,1615.0,0.107,46.0,161,27,16.77,2.39 (1.58-3.21),134,83.23,3.47 (3.21-3.73),8.73,4.77
oligodendrocytes 3,1003.0,0.069,19.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63),3.41,4.24
oligodendrocytes 2,1630.0,0.159,83.0,154,3,1.95,3.42 (0.28-6.56),151,98.05,3.24 (2.98-3.51),3.24,3.60
