tipo_celular,module_size,TMOD1_MM,TMOD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.105,14.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.15,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.084,3.0,353,21,5.95,1.50 (1.03-1.96),332,94.05,4.09 (3.91-4.27),29.24,6.72
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.372,87.0,54,15,27.78,5.67 (4.92-6.41),39,72.22,4.42 (3.61-5.23),4.90,5.09
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,262.0,0.043,6.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708.0,0.149,63.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93),3.90,2.16
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.275,47.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1401.0,0.094,58.0,96,17,17.71,4.27 (3.51-5.04),79,82.29,3.44 (2.92-3.97),4.12,3.73
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.345,56.0,120,5,4.17,1.42 (0.23-2.60),115,95.83,3.73 (3.44-4.03),5.60,2.67
astrocytes 4,255.0,0.134,17.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32),1.35,2.42
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.209,59.0,163,1,0.61,7.00 (NA-NA),162,99.39,3.68 (3.42-3.95),1.46,5.19
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
