tipo_celular,module_size,RPS29_MM,RPS29_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.274,58.0,98,28,28.57,2.80 (2.24-3.36),70,71.43,3.39 (2.76-4.02),29.57,7.01
T cells 18,506,0.429,89.0,225,32,14.22,3.05 (2.48-3.63),193,85.78,3.72 (3.44-3.99),28.42,4.50
astrocytes 5,328,0.169,51.0,128,10,7.81,3.74 (3.22-4.25),118,92.19,3.55 (3.17-3.93),18.59,5.76
oligodendrocyte progenitor cells 7,448,0.244,84.0,108,9,8.33,3.63 (3.10-4.16),99,91.67,3.21 (2.72-3.70),37.85,15.24
GABA neurons expressing GLU receptors 22,487,0.407,94.0,73,15,20.55,2.96 (2.30-3.62),58,79.45,2.69 (2.23-3.15),12.78,5.92
GLU like neurons 17,685,0.103,31.0,135,31,22.96,2.37 (1.88-2.87),104,77.04,3.42 (3.07-3.77),6.25,3.00
da like neurons 11,1220,0.098,14.0,410,31,7.56,3.30 (2.78-3.82),379,92.44,4.34 (4.14-4.53),16.00,6.82
GABA neurons expressing GABA receptors 13,417,0.137,32.0,213,40,18.78,2.30 (1.80-2.80),173,81.22,4.14 (3.90-4.38),13.38,8.83
endothelial cells 9,916,0.542,95.0,302,25,8.28,3.66 (3.01-4.32),277,91.72,4.02 (3.78-4.26),21.55,9.67
oligodendrocytes 20,271,0.161,45.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.493,88.0,455,47,10.33,2.41 (1.99-2.83),408,89.67,4.62 (4.44-4.80),24.40,7.04
astrocytes 8,603,0.153,82.0,89,17,19.1,2.75 (2.08-3.42),72,80.9,2.76 (2.35-3.18),9.75,5.17
oligodendrocyte progenitor cells 12,1049,0.359,94.0,235,22,9.36,3.50 (3.10-3.90),213,90.64,3.86 (3.61-4.11),23.04,6.02
oligodendrocytes 10,483,0.346,86.0,129,14,10.85,3.80 (3.36-4.24),115,89.15,3.38 (2.94-3.82),43.46,16.24
connective tissue cells 21,301,0.384,53.0,158,14,8.86,2.90 (2.23-3.58),144,91.14,4.46 (4.06-4.85),37.02,4.16
astrocytes 15,418,0.027,7.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,96,0.213,44.0,102,39,38.24,2.57 (2.04-3.10),63,61.76,3.80 (3.43-4.18),12.95,4.39
da neurons 6,729,0.197,71.0,182,16,8.79,2.83 (2.18-3.49),166,91.21,3.72 (3.45-3.99),31.43,6.31
astrocytes microglia 23,108,0.282,28.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,1807,0.117,10.0,104,24,23.08,2.07 (1.58-2.56),80,76.92,3.12 (2.81-3.44),11.66,3.52
oligodendrocytes 0,546,0.218,72.0,252,46,18.25,2.49 (2.05-2.92),206,81.75,4.52 (4.27-4.77),22.88,4.94
microglia 1,406,0.44,82.0,278,10,3.6,3.83 (3.32-4.35),268,96.4,4.39 (4.10-4.67),48.84,5.17
oligodendrocytes 3,303,0.186,68.0,154,13,8.44,4.03 (3.29-4.78),141,91.56,3.58 (3.24-3.92),48.83,8.43
oligodendrocytes 2,526,0.305,62.0,213,8,3.76,3.74 (3.19-4.29),205,96.24,3.99 (3.70-4.28),51.67,6.23
