tipo_celular,module_size,GPR137B_MM,GPR137B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.152,43.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,282.0,0.246,91.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932.0,0.126,74.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,26,7.37,2.47 (1.74-3.20),327,92.63,4.04 (3.86-4.22),23.46,6.84
GABA neurons expressing GLU receptors 22,714.0,0.144,28.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.167,82.0,101,3,2.97,6.15 (5.81-6.48),98,97.03,2.93 (2.60-3.27),4.49,3.01
da like neurons 11,101.0,0.322,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.125,25.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2090.0,0.109,19.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.046,11.0,66,11,16.67,1.45 (0.68-2.22),55,83.33,3.65 (3.25-4.05),3.12,2.92
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,12,4.35,2.48 (1.45-3.50),264,95.65,3.61 (3.39-3.83),9.14,4.93
oligodendrocytes 10,2107.0,0.058,8.0,358,30,8.38,2.50 (1.79-3.22),328,91.62,4.03 (3.85-4.22),18.65,8.63
connective tissue cells 21,77.0,0.345,79.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,377.0,0.135,37.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,105.0,0.235,58.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.333,71.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721.0,0.127,11.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.1,5.0,300,9,3.0,3.83 (3.11-4.54),291,97.0,3.79 (3.58-4.00),4.86,4.13
microglia 1,346.0,0.164,60.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,94.0,0.06,24.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,347.0,0.178,42.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
