tipo_celular,module_size,TMEM150C_MM,TMEM150C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.113,16.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,823.0,0.252,87.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,229.0,0.04,4.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57),1.67,3.62
da like neurons 11,168.0,0.085,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,93.0,0.143,39.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.123,28.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,727.0,0.162,78.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.043,9.0,105,2,1.9,0.97 (-0.53-2.48),103,98.1,3.26 (2.92-3.59),5.98,3.94
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,94.0,0.329,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.135,17.0,95,1,1.05,1.94 (NA-NA),94,98.95,3.39 (2.97-3.81),3.41,4.65
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
