tipo_celular,module_size,ZSCAN18_MM,ZSCAN18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.115,25.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,29,8.22,1.79 (1.54-2.04),324,91.78,4.14 (3.96-4.32),14.55,7.48
GABA neurons expressing GLU receptors 22,400.0,0.251,79.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67),NA,3.58
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.15,38.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,265.0,0.1,11.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,1653.0,0.067,6.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,295.0,0.13,25.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72),2.01,3.36
GABA like neurons 14,2402.0,0.168,30.0,455,8,1.76,1.10 (0.87-1.34),447,98.24,4.42 (4.24-4.60),9.29,8.83
astrocytes 8,520.0,0.08,31.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39),3.91,4.69
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,28,10.14,1.71 (1.49-1.92),248,89.86,3.82 (3.60-4.05),6.94,4.90
oligodendrocytes 10,806.0,0.125,37.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,96.0,0.357,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.173,67.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,82.0,0.212,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.127,53.0,235,3,1.28,1.00 (0.76-1.24),232,98.72,4.03 (3.78-4.28),3.04,4.43
astrocytes microglia 23,124.0,0.335,65.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,721.0,0.158,62.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.12,24.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71),2.86,6.60
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.061,20.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.158,83.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
