tipo_celular,module_size,BRK1_MM,BRK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.203,40.0,98,10,10.2,2.60 (1.33-3.86),88,89.8,3.27 (2.77-3.77),7.81,14.10
T cells 18,506.0,0.172,46.0,225,19,8.44,3.32 (2.52-4.13),206,91.56,3.64 (3.37-3.90),12.99,7.43
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.169,53.0,164,3,1.83,4.46 (3.75-5.17),161,98.17,4.08 (3.74-4.41),6.62,7.54
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.193,54.0,410,14,3.41,2.81 (1.96-3.66),396,96.59,4.29 (4.10-4.48),18.64,7.12
GABA neurons expressing GABA receptors 13,417.0,0.194,68.0,213,20,9.39,2.03 (1.33-2.73),193,90.61,3.94 (3.70-4.19),9.38,9.72
endothelial cells 9,916.0,0.311,73.0,302,5,1.66,2.67 (1.19-4.15),297,98.34,4.01 (3.78-4.24),10.23,10.66
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.556,92.0,455,20,4.4,2.41 (1.62-3.20),435,95.6,4.44 (4.25-4.63),25.93,8.05
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.155,76.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06),15.12,7.38
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.222,81.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90),4.89,8.56
astrocytes microglia 23,53.0,0.42,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.195,54.0,278,2,0.72,4.04 (1.84-6.24),276,99.28,4.36 (4.09-4.64),4.31,6.75
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
