tipo_celular,module_size,PEX1_MM,PEX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.17,100.0,136,6,4.41,2.89 (-0.36-6.13),130,95.59,3.21 (2.94-3.49),3.29,5.07
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,48,13.6,2.48 (2.08-2.88),305,86.4,4.15 (3.96-4.34),17.59,6.56
GABA neurons expressing GLU receptors 22,1069.0,0.1,9.0,37,1,2.7,NA,36,97.3,2.16 (1.70-2.61),2.69,3.11
GLU like neurons 17,300.0,0.168,30.0,16,1,6.25,4.07 (NA-NA),15,93.75,1.93 (1.07-2.79),1.50,2.53
da like neurons 11,109.0,0.162,31.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.367,91.0,28,2,7.14,3.78 (3.78-3.78),26,92.86,2.06 (1.60-2.52),1.80,3.17
GABA like neurons 14,3052.0,0.169,75.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.117,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.044,11.0,32,15,46.88,2.02 (1.34-2.69),17,53.12,4.67 (3.51-5.82),3.18,2.08
oligodendrocytes 10,1277.0,0.018,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.039,7.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,92.0,0.221,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,37.0,0.372,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.155,70.0,104,15,14.42,2.39 (1.59-3.19),89,85.58,2.95 (2.65-3.25),8.94,4.80
oligodendrocytes 0,2078.0,0.142,95.0,238,14,5.88,2.83 (2.10-3.56),224,94.12,3.69 (3.46-3.92),6.41,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.053,10.0,15,6,40.0,1.13 (0.32-1.93),9,60.0,5.19 (3.92-6.45),2.58,1.98
oligodendrocytes 2,921.0,0.141,56.0,200,12,6.0,3.48 (2.91-4.05),188,94.0,3.63 (3.35-3.91),4.82,3.38
