tipo_celular,module_size,EIF4B_MM,EIF4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.137,8.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,518,0.134,34.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,1656,0.139,85.0,136,8,5.88,2.08 (1.18-2.98),128,94.12,3.29 (3.01-3.57),6.17,4.91
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,27,7.65,1.98 (1.46-2.50),326,92.35,4.10 (3.92-4.28),20.01,7.07
GABA neurons expressing GLU receptors 22,567,0.119,15.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1316,0.152,74.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,265,0.101,14.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,80,0.156,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385,0.094,40.0,275,33,12.0,2.38 (1.82-2.94),242,88.0,4.28 (4.02-4.55),11.18,5.16
oligodendrocytes 20,271,0.201,62.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.115,13.0,455,25,5.49,2.61 (1.83-3.39),430,94.51,4.48 (4.30-4.67),16.84,8.37
astrocytes 8,260,0.059,13.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,24,8.7,1.85 (1.42-2.27),252,91.3,3.76 (3.54-3.98),8.41,4.80
oligodendrocytes 10,483,0.154,62.0,129,7,5.43,3.12 (2.48-3.76),122,94.57,3.45 (3.03-3.87),12.51,19.57
connective tissue cells 21,139,0.291,40.0,4,3,75.0,3.51 (1.72-5.30),1,25.0,3.52 (NA-NA),1.79,1.47
astrocytes 15,1401,0.103,66.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09),1.39,3.82
oligodendrocytes 16,82,0.205,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.082,26.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,61,0.318,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.148,57.0,104,16,15.38,1.63 (1.05-2.22),88,84.62,3.11 (2.82-3.40),8.36,4.86
oligodendrocytes 0,613,0.128,35.0,127,12,9.45,3.22 (2.00-4.45),115,90.55,3.02 (2.58-3.46),3.20,6.60
microglia 1,958,0.121,64.0,290,8,2.76,2.79 (1.48-4.09),282,97.24,3.85 (3.62-4.08),8.66,4.90
oligodendrocytes 3,1003,0.044,3.0,111,1,0.9,5.10 (NA-NA),110,99.1,3.28 (2.94-3.63),1.89,4.25
oligodendrocytes 2,921,0.156,80.0,200,4,2.0,2.90 (1.27-4.53),196,98.0,3.64 (3.37-3.91),7.47,3.38
