tipo_celular,module_size,SF3A3_MM,SF3A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.245,86.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,518.0,0.121,25.0,131,6,4.58,3.48 (2.87-4.09),125,95.42,3.05 (2.76-3.34),4.18,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,51,14.45,2.17 (1.77-2.57),302,85.55,4.26 (4.08-4.43),23.94,5.38
GABA neurons expressing GLU receptors 22,487.0,0.189,40.0,73,7,9.59,2.23 (1.41-3.04),66,90.41,2.82 (2.40-3.24),4.05,7.67
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.074,5.0,410,11,2.68,2.70 (1.97-3.43),399,97.32,4.31 (4.12-4.50),9.85,7.45
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.061,7.0,275,52,18.91,2.29 (1.88-2.69),223,81.09,4.50 (4.23-4.76),13.36,4.14
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.138,21.0,455,45,9.89,2.44 (1.98-2.90),410,90.11,4.62 (4.44-4.80),15.71,8.08
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,30,10.87,1.91 (1.61-2.21),246,89.13,3.80 (3.58-4.03),13.37,4.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.366,86.0,26,1,3.85,1.71 (NA-NA),25,96.15,2.57 (1.88-3.26),2.20,2.17
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.08,17.0,122,11,9.02,1.43 (0.73-2.13),111,90.98,4.30 (3.91-4.68),3.74,3.46
astrocytes microglia 23,86.0,0.341,64.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA,1.66,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.136,81.0,290,16,5.52,2.98 (2.65-3.32),274,94.48,3.87 (3.63-4.11),6.63,4.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
