tipo_celular,module_size,FAM3C_MM,FAM3C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.303,89.0,21,8,38.1,1.12 (0.45-1.80),13,61.9,3.08 (2.45-3.72),2.28,1.83
T cells 18,477.0,0.238,86.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,13,3.68,1.38 (0.82-1.95),340,96.32,4.01 (3.83-4.20),41.90,6.77
GABA neurons expressing GLU receptors 22,487.0,0.172,30.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1247.0,0.124,43.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.136,32.0,410,16,3.9,2.94 (2.02-3.85),394,96.1,4.28 (4.09-4.47),18.14,7.08
GABA neurons expressing GABA receptors 13,73.0,0.117,14.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,338.0,0.106,37.0,191,2,1.05,3.18 (3.18-3.18),189,98.95,3.89 (3.67-4.12),3.91,9.21
oligodendrocytes 20,322.0,0.103,40.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.267,59.0,455,25,5.49,1.91 (1.23-2.59),430,94.51,4.47 (4.28-4.65),26.37,7.82
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,7,2.54,2.13 (1.53-2.74),269,97.46,3.59 (3.37-3.81),16.77,4.81
oligodendrocytes 10,806.0,0.166,53.0,261,10,3.83,2.95 (2.48-3.41),251,96.17,4.39 (4.15-4.64),7.77,6.00
connective tissue cells 21,106.0,0.299,54.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,156.0,0.161,21.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,553.0,0.122,46.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,125.0,0.364,77.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.102,26.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86),2.14,5.03
microglia 1,958.0,0.106,43.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,457.0,0.08,28.0,345,15,4.35,3.34 (2.77-3.90),330,95.65,4.30 (4.08-4.51),18.82,5.10
oligodendrocytes 2,1630.0,0.162,87.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
