tipo_celular,module_size,CHMP5_MM,CHMP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,60,17.0,2.82 (2.40-3.23),293,83.0,4.19 (4.00-4.38),17.13,6.21
GABA neurons expressing GLU receptors 22,848.0,0.18,37.0,262,42,16.03,3.36 (2.93-3.78),220,83.97,4.36 (4.08-4.64),6.49,3.65
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.143,35.0,410,58,14.15,3.78 (3.40-4.16),352,85.85,4.35 (4.14-4.56),10.52,7.02
GABA neurons expressing GABA receptors 13,417.0,0.172,57.0,213,41,19.25,2.45 (1.98-2.92),172,80.75,4.14 (3.89-4.40),7.67,10.16
endothelial cells 9,916.0,0.231,57.0,302,14,4.64,3.14 (2.22-4.05),288,95.36,4.04 (3.81-4.27),8.32,10.77
oligodendrocytes 20,221.0,0.162,36.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.318,69.0,455,70,15.38,3.27 (2.88-3.67),385,84.62,4.61 (4.41-4.81),15.83,7.56
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.077,39.0,235,19,8.09,3.63 (3.25-4.01),216,91.91,3.84 (3.59-4.09),7.25,7.65
oligodendrocytes 10,806.0,0.164,52.0,261,44,16.86,3.96 (3.53-4.38),217,83.14,4.47 (4.19-4.75),6.92,5.89
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.208,49.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,729.0,0.115,32.0,182,4,2.2,2.22 (1.48-2.95),178,97.8,3.68 (3.42-3.93),4.19,8.62
astrocytes microglia 23,161.0,0.415,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.118,23.0,127,6,4.72,2.76 (1.76-3.76),121,95.28,3.07 (2.63-3.52),2.88,6.45
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.083,24.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,528.0,0.184,39.0,175,37,21.14,4.20 (3.70-4.71),138,78.86,4.44 (4.00-4.89),8.48,3.58
