tipo_celular,module_size,ERCC3_MM,ERCC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.308,90.0,21,13,61.9,1.57 (0.94-2.20),8,38.1,3.39 (2.59-4.20),2.22,1.66
T cells 18,727.0,0.03,0.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.096,21.0,136,14,10.29,3.23 (2.32-4.14),122,89.71,3.21 (2.92-3.49),4.69,5.02
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,60,17.0,2.32 (1.96-2.68),293,83.0,4.30 (4.12-4.48),22.26,5.16
GABA neurons expressing GLU receptors 22,823.0,0.103,9.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23),1.90,3.57
GLU like neurons 17,637.0,0.022,1.0,91,13,14.29,1.49 (0.84-2.14),78,85.71,5.27 (4.82-5.71),3.29,3.02
da like neurons 11,120.0,0.148,19.0,1,1,100.0,NA,0,0.0,NA,1.33,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.046,9.0,36,12,33.33,1.95 (1.61-2.29),24,66.67,1.90 (1.39-2.41),3.80,2.79
GABA like neurons 14,2090.0,0.125,29.0,74,9,12.16,2.14 (1.84-2.44),65,87.84,3.07 (2.65-3.50),3.57,11.46
astrocytes 8,603.0,0.038,9.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35),5.32,6.12
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,40,14.49,2.18 (1.84-2.52),236,85.51,3.86 (3.63-4.09),11.84,3.97
oligodendrocytes 10,2107.0,0.031,1.0,358,71,19.83,2.34 (2.03-2.64),287,80.17,4.39 (4.20-4.58),20.92,6.64
connective tissue cells 21,100.0,0.199,21.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,367.0,0.032,4.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,155.0,0.245,69.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.32,63.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.157,73.0,104,34,32.69,2.05 (1.66-2.45),70,67.31,3.31 (2.98-3.64),9.64,3.34
oligodendrocytes 0,2078.0,0.11,42.0,238,16,6.72,2.95 (2.31-3.59),222,93.28,3.70 (3.46-3.93),7.39,4.85
microglia 1,1615.0,0.083,13.0,161,43,26.71,1.91 (1.58-2.24),118,73.29,3.93 (3.65-4.21),10.89,3.44
oligodendrocytes 3,187.0,0.047,3.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.143,52.0,154,3,1.95,4.06 (3.23-4.88),151,98.05,3.23 (2.96-3.50),4.39,3.58
