tipo_celular,module_size,ENY2_MM,ENY2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.214,52.0,21,16,76.19,1.93 (1.33-2.52),5,23.81,3.79 (2.42-5.17),2.16,1.51
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.1,7.0,164,1,0.61,3.69 (NA-NA),163,99.39,4.09 (3.76-4.42),1.31,7.56
GABA neurons expressing GLU receptors 22,487.0,0.363,87.0,73,6,8.22,2.08 (0.87-3.29),67,91.78,2.83 (2.42-3.23),2.22,7.78
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.169,47.0,410,13,3.17,2.43 (1.65-3.21),397,96.83,4.33 (4.14-4.52),12.80,7.34
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.158,35.0,302,5,1.66,2.01 (0.92-3.10),297,98.34,4.03 (3.80-4.25),17.49,10.54
oligodendrocytes 20,403.0,0.154,62.0,18,11,61.11,1.11 (0.58-1.64),7,38.89,3.08 (2.03-4.13),4.45,2.77
GABA like neurons 14,2402.0,0.343,73.0,455,35,7.69,2.07 (1.63-2.51),420,92.31,4.61 (4.44-4.79),19.54,7.94
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.09,49.0,235,3,1.28,4.26 (2.42-6.09),232,98.72,3.82 (3.58-4.05),2.97,7.67
oligodendrocytes 10,735.0,0.095,49.0,277,1,0.36,3.69 (NA-NA),276,99.64,3.89 (3.65-4.14),7.53,8.95
connective tissue cells 21,73.0,0.568,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.276,86.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,729.0,0.129,37.0,182,6,3.3,1.69 (1.24-2.14),176,96.7,3.72 (3.47-3.97),3.61,8.69
astrocytes microglia 23,111.0,0.353,68.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,86.0,0.118,22.0,2,1,50.0,NA,1,50.0,NA,1.75,1.43
microglia 1,406.0,0.084,6.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,743.0,0.103,75.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.142,51.0,154,6,3.9,2.81 (2.23-3.38),148,96.1,3.27 (2.99-3.54),2.83,3.62
