tipo_celular,module_size,DAD1_MM,DAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.132,25.0,225,15,6.67,3.27 (2.49-4.06),210,93.33,3.64 (3.38-3.91),4.65,8.14
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.184,60.0,164,7,4.27,3.67 (2.49-4.86),157,95.73,4.11 (3.77-4.45),9.46,7.44
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.332,76.0,302,13,4.3,3.21 (2.28-4.13),289,95.7,4.03 (3.79-4.26),5.13,10.90
oligodendrocytes 20,938.0,0.196,79.0,169,9,5.33,2.84 (1.71-3.98),160,94.67,3.52 (3.30-3.75),5.58,5.35
GABA like neurons 14,2402.0,0.413,81.0,455,25,5.49,2.21 (1.53-2.88),430,94.51,4.52 (4.34-4.70),22.12,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.151,75.0,235,7,2.98,4.04 (2.84-5.23),228,97.02,3.82 (3.58-4.05),5.01,7.69
oligodendrocytes 10,735.0,0.097,51.0,277,2,0.72,4.50 (3.23-5.77),275,99.28,3.89 (3.64-4.13),2.30,8.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.254,78.0,4,1,25.0,NA,3,75.0,2.02 (0.43-3.61),1.67,3.81
da neurons 6,729.0,0.171,61.0,182,3,1.65,2.20 (0.57-3.82),179,98.35,3.67 (3.41-3.92),4.76,8.58
astrocytes microglia 23,111.0,0.375,80.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.203,67.0,252,22,8.73,2.24 (1.48-3.01),230,91.27,4.33 (4.09-4.57),10.39,8.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.123,45.0,154,2,1.3,6.60 (NA-NA),152,98.7,3.59 (3.28-3.91),3.46,11.95
oligodendrocytes 2,526.0,0.339,73.0,213,1,0.47,3.85 (NA-NA),212,99.53,3.98 (3.70-4.26),1.40,7.97
