tipo_celular,module_size,CBFB_MM,CBFB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.087,7.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,727.0,0.193,84.0,49,5,10.2,4.57 (3.62-5.52),44,89.8,2.22 (1.85-2.59),4.40,6.45
astrocytes 5,423.0,0.155,53.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.155,78.0,353,61,17.28,2.29 (1.96-2.62),292,82.72,4.33 (4.15-4.51),20.92,5.38
GABA neurons expressing GLU receptors 22,599.0,0.256,72.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.137,57.0,297,7,2.36,4.69 (3.91-5.46),290,97.64,3.65 (3.44-3.86),11.99,5.36
oligodendrocytes 20,348.0,0.139,53.0,33,4,12.12,3.14 (2.75-3.52),29,87.88,2.67 (2.12-3.23),2.15,3.55
GABA like neurons 14,2090.0,0.051,1.0,74,17,22.97,2.50 (2.06-2.93),57,77.03,3.09 (2.61-3.56),3.42,12.61
astrocytes 8,577.0,0.123,70.0,83,6,7.23,2.42 (1.58-3.26),77,92.77,3.33 (2.85-3.81),2.18,4.65
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,50,18.12,2.29 (1.96-2.62),226,81.88,3.91 (3.68-4.15),10.96,3.82
oligodendrocytes 10,2107.0,0.192,67.0,358,72,20.11,2.37 (2.06-2.68),286,79.89,4.40 (4.21-4.58),24.26,5.75
connective tissue cells 21,93.0,0.32,71.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,377.0,0.153,51.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,113.0,0.157,34.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.26,19.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,514.0,0.202,60.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,1186.0,0.188,96.0,300,8,2.67,3.83 (3.31-4.34),292,97.33,3.79 (3.58-4.00),7.26,4.07
microglia 1,958.0,0.114,56.0,290,14,4.83,2.65 (1.91-3.38),276,95.17,3.88 (3.65-4.12),6.17,4.94
oligodendrocytes 3,1003.0,0.125,74.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.186,82.0,84,11,13.1,2.80 (1.65-3.96),73,86.9,2.67 (2.32-3.01),3.58,3.37
