tipo_celular,module_size,HIP1R_MM,HIP1R_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.115,22.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47),3.00,4.31
astrocytes 5,932.0,0.149,90.0,80,2,2.5,4.83 (4.31-5.36),78,97.5,3.64 (3.22-4.05),1.99,4.36
oligodendrocyte progenitor cells 7,436.0,0.211,86.0,219,31,14.16,5.86 (5.30-6.42),188,85.84,5.12 (4.81-5.44),7.22,4.18
GABA neurons expressing GLU receptors 22,599.0,0.166,28.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,637.0,0.179,58.0,91,31,34.07,3.07 (2.27-3.86),60,65.93,5.47 (4.95-5.99),3.40,2.88
da like neurons 11,408.0,0.175,52.0,25,12,48.0,3.10 (1.45-4.76),13,52.0,6.46 (5.07-7.86),2.12,2.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.161,35.0,74,19,25.68,5.67 (4.71-6.63),55,74.32,5.39 (4.72-6.06),3.15,3.81
oligodendrocytes 20,228.0,0.117,19.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,2090.0,0.114,22.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.156,67.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA,2.24,1.63
oligodendrocyte progenitor cells 12,411.0,0.407,89.0,103,6,5.83,7.70 (7.70-7.70),97,94.17,5.49 (5.10-5.88),3.19,3.08
oligodendrocytes 10,1277.0,0.193,89.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.208,100.0,105,9,8.57,2.11 (1.29-2.93),96,91.43,3.32 (2.97-3.68),3.72,4.00
oligodendrocytes 16,92.0,0.125,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.308,59.0,46,3,6.52,5.16 (4.22-6.09),43,93.48,5.02 (4.42-5.62),2.22,3.28
astrocytes 4,251.0,0.277,94.0,34,7,20.59,4.33 (2.75-5.92),27,79.41,5.48 (4.84-6.12),2.05,3.34
oligodendrocytes 0,1186.0,0.095,3.0,300,13,4.33,3.63 (2.98-4.27),287,95.67,3.80 (3.59-4.01),4.58,4.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.105,57.0,15,7,46.67,1.99 (-0.33-4.30),8,53.33,4.45 (3.30-5.60),2.46,2.01
oligodendrocytes 2,131.0,0.158,34.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
