tipo_celular,module_size,ACADSB_MM,ACADSB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.192,83.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656.0,0.103,31.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,18,5.1,1.40 (0.92-1.88),335,94.9,4.07 (3.89-4.24),38.17,6.45
GABA neurons expressing GLU receptors 22,1069.0,0.159,47.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.136,61.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,172.0,0.16,27.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,288.0,0.142,35.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.057,18.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.115,29.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.052,16.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02),4.11,2.77
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,11,3.99,1.88 (1.34-2.42),265,96.01,3.62 (3.40-3.85),17.64,4.59
oligodendrocytes 10,806.0,0.051,8.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62),4.38,6.07
connective tissue cells 21,102.0,0.412,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.087,52.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,155.0,0.239,64.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,448.0,0.065,7.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,101.0,0.247,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.166,77.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,479.0,0.121,23.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.08,38.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.145,65.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
