tipo_celular,module_size,PNCK_MM,PNCK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.095,20.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.284,63.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54),23.10,8.80
astrocytes 8,520.0,0.035,4.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39),3.91,4.69
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.058,24.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06),1.73,3.84
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.332,68.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21),2.40,1.64
astrocytes 4,1807.0,0.139,40.0,104,5,4.81,2.18 (1.29-3.08),99,95.19,2.90 (2.61-3.19),4.88,5.42
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
