tipo_celular,module_size,STK17A_MM,STK17A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.066,3.0,98,3,3.06,1.02 (0.56-1.49),95,96.94,3.31 (2.84-3.79),6.74,13.67
T cells 18,506.0,0.121,19.0,225,10,4.44,2.90 (1.88-3.92),215,95.56,3.66 (3.40-3.91),5.71,8.00
astrocytes 5,1656.0,0.097,23.0,136,2,1.47,1.60 (0.88-2.31),134,98.53,3.24 (2.96-3.51),5.67,4.98
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,39,11.05,2.29 (1.86-2.72),314,88.95,4.14 (3.95-4.33),24.87,5.98
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,283.0,0.113,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.063,28.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07),1.98,7.64
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.184,75.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.281,34.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,1807.0,0.14,41.0,104,21,20.19,1.92 (1.44-2.40),83,79.81,3.09 (2.79-3.40),12.23,3.67
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.162,94.0,161,31,19.25,2.15 (1.63-2.67),130,80.75,3.59 (3.30-3.87),12.71,3.70
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
