tipo_celular,module_size,RPS12_MM,RPS12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.412,79.0,98,26,26.53,2.93 (2.25-3.61),72,73.47,3.37 (2.74-3.99),33.71,6.14
T cells 18,506.0,0.46,92.0,225,31,13.78,2.79 (2.22-3.36),194,86.22,3.79 (3.52-4.06),23.08,5.48
astrocytes 5,328.0,0.257,80.0,128,9,7.03,3.63 (3.10-4.16),119,92.97,3.56 (3.19-3.94),20.02,5.76
oligodendrocyte progenitor cells 7,448.0,0.352,94.0,108,15,13.89,4.49 (3.66-5.32),93,86.11,3.02 (2.54-3.50),24.52,15.93
GABA neurons expressing GLU receptors 22,487.0,0.438,96.0,73,20,27.4,3.27 (2.47-4.08),53,72.6,2.55 (2.13-2.97),10.12,6.28
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.14,34.0,410,19,4.63,3.18 (2.53-3.83),391,95.37,4.32 (4.12-4.51),14.20,7.19
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.556,96.0,302,15,4.97,3.47 (2.40-4.55),287,95.03,4.01 (3.78-4.24),31.19,9.58
oligodendrocytes 20,358.0,0.125,36.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.353,74.0,455,40,8.79,2.38 (1.85-2.91),415,91.21,4.60 (4.42-4.78),24.39,7.34
astrocytes 8,603.0,0.171,86.0,89,19,21.35,2.58 (1.97-3.19),70,78.65,2.83 (2.40-3.27),9.53,5.10
oligodendrocyte progenitor cells 12,1049.0,0.44,97.0,235,16,6.81,3.86 (3.05-4.68),219,93.19,3.82 (3.58-4.06),26.26,6.25
oligodendrocytes 10,483.0,0.459,94.0,129,14,10.85,4.20 (3.40-4.99),115,89.15,3.32 (2.89-3.75),42.72,16.33
connective tissue cells 21,301.0,0.513,81.0,158,22,13.92,3.21 (2.46-3.96),136,86.08,4.50 (4.09-4.90),26.36,3.95
astrocytes 15,418.0,0.069,38.0,54,3,5.56,2.72 (1.32-4.13),51,94.44,3.75 (3.29-4.20),2.67,3.03
oligodendrocytes 16,96.0,0.351,93.0,102,34,33.33,2.54 (1.97-3.11),68,66.67,3.85 (3.51-4.19),15.41,3.79
da neurons 6,729.0,0.154,51.0,182,21,11.54,3.25 (2.49-4.01),161,88.46,3.69 (3.43-3.96),26.48,6.18
astrocytes microglia 23,137.0,0.396,64.0,188,37,19.68,2.51 (1.98-3.05),151,80.32,4.99 (4.65-5.33),21.53,3.62
astrocytes 4,208.0,0.118,9.0,173,12,6.94,3.98 (3.14-4.83),161,93.06,3.78 (3.46-4.10),11.43,5.19
oligodendrocytes 0,546.0,0.205,67.0,252,39,15.48,2.39 (1.85-2.93),213,84.52,4.50 (4.27-4.74),20.75,5.91
microglia 1,406.0,0.505,89.0,278,11,3.96,4.12 (3.23-5.01),267,96.04,4.37 (4.09-4.66),47.38,5.06
oligodendrocytes 3,303.0,0.25,87.0,154,13,8.44,4.20 (3.33-5.07),141,91.56,3.56 (3.22-3.90),49.89,8.33
oligodendrocytes 2,526.0,0.31,64.0,213,11,5.16,4.12 (3.23-5.01),202,94.84,3.97 (3.68-4.26),40.14,6.18
