tipo_celular,module_size,CTBS_MM,CTBS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.187,35.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.103,13.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,233.0,0.202,54.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.093,25.0,358,7,1.96,1.77 (0.77-2.77),351,98.04,3.92 (3.72-4.11),27.40,9.12
connective tissue cells 21,101.0,0.318,69.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.203,44.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.316,48.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.123,68.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,1615.0,0.153,90.0,161,7,4.35,1.77 (0.77-2.77),154,95.65,3.36 (3.08-3.63),8.05,5.31
oligodendrocytes 3,854.0,0.133,85.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.152,72.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
