tipo_celular,module_size,AGMO_MM,AGMO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.089,6.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,795.0,0.202,77.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.267,81.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,283.0,0.211,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.158,76.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.368,97.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,90.0,0.195,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,52.0,0.369,91.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,220.0,0.209,75.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,2078.0,0.11,42.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.128,76.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.191,47.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
