tipo_celular,module_size,POLN_MM,POLN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.108,13.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,32,9.07,1.94 (1.49-2.39),321,90.93,4.14 (3.96-4.32),31.38,5.74
GABA neurons expressing GLU receptors 22,848.0,0.117,11.0,262,4,1.53,1.09 (-0.05-2.24),258,98.47,4.23 (3.98-4.47),3.69,4.11
GLU like neurons 17,1247.0,0.173,74.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853.0,0.174,74.0,133,19,14.29,1.48 (1.02-1.95),114,85.71,3.61 (3.29-3.93),5.78,3.89
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.189,74.0,74,4,5.41,1.90 (1.39-2.42),70,94.59,3.01 (2.62-3.40),3.98,10.87
astrocytes 8,727.0,0.132,65.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.061,27.0,276,23,8.33,2.22 (1.76-2.68),253,91.67,3.70 (3.48-3.93),15.32,4.18
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.104,66.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.316,55.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,787.0,0.137,25.0,65,2,3.08,5.16 (5.16-5.16),63,96.92,2.87 (2.48-3.26),2.13,5.86
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
