tipo_celular,module_size,E2F3_MM,E2F3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.206,40.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624.0,0.202,84.0,142,6,4.23,3.67 (3.12-4.22),136,95.77,3.19 (2.91-3.46),4.19,4.30
astrocytes 5,322.0,0.108,14.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70),1.65,2.34
oligodendrocyte progenitor cells 7,666.0,0.152,38.0,127,7,5.51,1.53 (1.08-1.97),120,94.49,4.04 (3.71-4.37),4.97,5.89
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.128,45.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,97.0,0.394,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.129,27.0,141,17,12.06,2.61 (2.04-3.17),124,87.94,3.01 (2.75-3.27),3.09,7.33
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.204,93.0,125,3,2.4,4.26 (3.75-4.77),122,97.6,3.32 (2.99-3.66),1.94,8.78
astrocytes 8,262.0,0.166,63.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708.0,0.648,100.0,32,12,37.5,2.05 (1.20-2.89),20,62.5,4.14 (3.06-5.23),3.14,2.27
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.081,45.0,105,27,25.71,2.16 (1.69-2.64),78,74.29,3.62 (3.23-4.00),5.96,3.29
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.256,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.148,43.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.193,92.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
