tipo_celular,module_size,FRMD5_MM,FRMD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.689,99.0,68,7,10.29,2.72 (1.19-4.26),61,89.71,4.63 (4.06-5.19),2.82,3.37
astrocytes 5,165.0,0.211,60.0,51,1,1.96,4.70 (NA-NA),50,98.04,5.37 (4.68-6.05),2.92,2.95
oligodendrocyte progenitor cells 7,229.0,0.121,19.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73),3.03,5.65
GABA neurons expressing GLU receptors 22,567.0,0.186,47.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,637.0,0.357,89.0,91,13,14.29,2.28 (1.29-3.27),78,85.71,5.08 (4.57-5.59),3.53,2.98
da like neurons 11,408.0,0.647,97.0,25,9,36.0,1.86 (0.88-2.85),16,64.0,6.86 (5.86-7.87),2.12,2.36
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.745,99.0,74,2,2.7,3.15 (0.39-5.92),72,97.3,5.56 (5.01-6.11),4.40,3.62
oligodendrocytes 20,676.0,0.492,78.0,110,22,20.0,3.75 (3.05-4.45),88,80.0,5.48 (4.97-5.99),3.60,3.50
GABA like neurons 14,1300.0,0.244,67.0,306,25,8.17,3.68 (2.96-4.39),281,91.83,5.28 (5.01-5.55),6.05,6.76
astrocytes 8,771.0,0.576,95.0,48,3,6.25,3.96 (0.84-7.08),45,93.75,4.47 (3.68-5.25),1.76,3.23
oligodendrocyte progenitor cells 12,708.0,0.34,89.0,32,9,28.12,1.81 (0.76-2.87),23,71.88,3.82 (2.87-4.77),3.56,2.22
oligodendrocytes 10,204.0,0.58,93.0,92,3,3.26,4.54 (4.24-4.85),89,96.74,5.74 (5.26-6.23),4.93,3.68
connective tissue cells 21,250.0,0.784,96.0,117,14,11.97,4.35 (3.63-5.07),103,88.03,5.56 (5.12-6.00),3.29,3.80
astrocytes 15,458.0,0.287,92.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,81.0,0.112,3.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.419,96.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,102.0,0.167,32.0,42,1,2.38,3.22 (NA-NA),41,97.62,5.77 (5.06-6.49),3.27,3.16
oligodendrocytes 0,479.0,0.156,55.0,40,4,10.0,4.98 (4.56-5.40),36,90.0,5.99 (5.42-6.56),2.85,3.54
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.204,96.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.35,89.0,114,12,10.53,5.05 (4.83-5.27),102,89.47,5.13 (4.64-5.61),4.80,4.34
