tipo_celular,module_size,SEPT6_MM,SEPT6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.196,48.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,477.0,0.113,18.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.144,32.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,1069.0,0.064,2.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.194,81.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,209.0,0.107,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,73.0,0.185,67.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,303.0,0.155,41.0,54,1,1.85,4.29 (NA-NA),53,98.15,4.85 (4.21-5.50),1.48,5.10
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.197,78.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.046,11.0,276,18,6.52,2.53 (2.00-3.06),258,93.48,3.64 (3.41-3.87),6.63,5.00
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,136.0,0.277,48.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.071,10.0,235,8,3.4,2.41 (1.22-3.60),227,96.6,4.02 (3.77-4.27),2.60,4.48
astrocytes microglia 23,327.0,0.294,37.0,120,17,14.17,2.28 (1.65-2.91),103,85.83,3.82 (3.50-4.13),2.70,2.81
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.201,55.0,163,3,1.84,3.22 (3.22-3.22),160,98.16,3.72 (3.45-3.98),1.59,5.24
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
