tipo_celular,module_size,VCL_MM,VCL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.415,99.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,393.0,0.221,80.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62),2.27,5.40
astrocytes 5,322.0,0.199,63.0,58,20,34.48,4.12 (3.49-4.75),38,65.52,4.21 (3.63-4.79),1.98,2.49
oligodendrocyte progenitor cells 7,666.0,0.223,80.0,127,23,18.11,3.79 (2.72-4.85),104,81.89,3.84 (3.49-4.19),3.64,6.32
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.109,37.0,101,3,2.97,2.85 (NA-NA),98,97.03,3.05 (2.70-3.41),2.19,3.08
da like neurons 11,172.0,0.262,60.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.308,79.0,54,10,18.52,5.32 (4.43-6.21),44,81.48,4.71 (3.96-5.46),4.96,5.05
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.17,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.176,87.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,19,6.88,2.13 (1.55-2.71),257,93.12,3.66 (3.43-3.88),10.16,4.74
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,152.0,0.434,94.0,21,3,14.29,7.00 (7.00-7.00),18,85.71,4.63 (3.04-6.23),3.05,2.08
astrocytes 15,1401.0,0.166,92.0,96,22,22.92,4.20 (3.48-4.92),74,77.08,3.44 (2.90-3.97),4.17,3.69
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.289,35.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,514.0,0.243,74.0,95,5,5.26,3.14 (0.45-5.82),90,94.74,3.39 (2.97-3.80),2.88,4.74
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.114,10.0,163,13,7.98,4.89 (4.32-5.46),150,92.02,3.62 (3.34-3.90),2.02,5.44
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
