tipo_celular,module_size,TRAF6_MM,TRAF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.132,32.0,71,8,11.27,2.51 (0.97-4.05),63,88.73,2.64 (2.22-3.06),1.76,3.81
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,120.0,0.098,11.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.092,38.0,275,65,23.64,2.38 (2.07-2.69),210,76.36,4.71 (4.44-4.99),7.89,5.26
oligodendrocytes 20,358.0,0.473,99.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,3052.0,0.127,39.0,125,8,6.4,3.46 (2.98-3.93),117,93.6,3.35 (3.02-3.68),3.29,8.98
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.09,23.0,358,95,26.54,2.66 (2.33-2.99),263,73.46,4.44 (4.25-4.63),17.50,6.57
connective tissue cells 21,114.0,0.411,96.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.145,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.414,97.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.137,90.0,238,35,14.71,3.31 (2.76-3.85),203,85.29,3.69 (3.45-3.93),5.54,4.93
microglia 1,958.0,0.112,51.0,290,32,11.03,2.89 (2.36-3.42),258,88.97,3.94 (3.69-4.18),4.49,5.06
oligodendrocytes 3,854.0,0.112,74.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14),3.40,4.79
oligodendrocytes 2,1630.0,0.158,82.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
