tipo_celular,module_size,ARHGAP35_MM,ARHGAP35_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.088,0.0,21,4,19.05,0.39 (0.29-0.50),17,80.95,2.78 (2.20-3.35),2.68,1.85
T cells 18,388,0.153,50.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29),1.61,4.39
astrocytes 5,932,0.145,89.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,4285,0.121,29.0,353,24,6.8,2.42 (1.68-3.15),329,93.2,4.02 (3.84-4.21),18.77,7.28
GABA neurons expressing GLU receptors 22,703,0.135,22.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247,0.185,78.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.23,91.0,133,14,10.53,2.48 (1.51-3.46),119,89.47,3.36 (3.04-3.69),4.21,4.16
GABA neurons expressing GABA receptors 13,88,0.235,86.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.105,31.0,297,3,1.01,4.68 (2.94-6.43),294,98.99,3.66 (3.46-3.87),3.89,5.53
oligodendrocytes 20,358,0.121,34.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,1300,0.186,40.0,306,80,26.14,4.56 (4.10-5.01),226,73.86,5.37 (5.06-5.69),10.91,5.22
astrocytes 8,1266,0.095,63.0,66,32,48.48,3.20 (2.59-3.81),34,51.52,3.26 (2.68-3.83),3.10,2.82
oligodendrocyte progenitor cells 12,708,0.485,97.0,32,11,34.38,2.52 (1.04-4.01),21,65.62,3.71 (2.82-4.60),3.25,2.25
oligodendrocytes 10,806,0.086,21.0,261,21,8.05,5.66 (4.92-6.40),240,91.95,4.21 (3.96-4.45),3.98,6.25
connective tissue cells 21,118,0.33,70.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401,0.048,15.0,96,22,22.92,4.29 (3.54-5.03),74,77.08,3.35 (2.81-3.89),3.76,3.81
oligodendrocytes 16,85,0.176,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.215,94.0,95,3,3.16,2.92 (NA-NA),92,96.84,4.87 (4.43-5.31),2.21,3.40
astrocytes microglia 23,255,0.221,25.0,57,2,3.51,3.03 (1.53-4.52),55,96.49,2.64 (2.26-3.01),1.81,3.39
astrocytes 4,255,0.12,10.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32),1.35,2.42
oligodendrocytes 0,1186,0.154,66.0,300,22,7.33,4.23 (3.72-4.75),278,92.67,3.75 (3.53-3.97),4.14,4.16
microglia 1,958,0.105,42.0,290,17,5.86,2.32 (1.70-2.94),273,94.14,3.93 (3.70-4.17),4.86,5.01
oligodendrocytes 3,187,0.107,53.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,407,0.203,86.0,122,13,10.66,1.29 (0.72-1.86),109,89.34,3.65 (3.25-4.05),3.29,2.63
