tipo_celular,module_size,PIN4_MM,PIN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.093,12.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.085,9.0,136,9,6.62,2.06 (1.43-2.69),127,93.38,3.30 (3.02-3.58),6.63,4.87
oligodendrocyte progenitor cells 7,4285.0,0.088,4.0,353,42,11.9,1.82 (1.48-2.16),311,88.1,4.27 (4.10-4.44),26.35,5.59
GABA neurons expressing GLU receptors 22,703.0,0.116,15.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,209.0,0.08,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.096,14.0,302,8,2.65,3.73 (1.76-5.69),294,97.35,3.99 (3.76-4.21),13.56,10.57
oligodendrocytes 20,275.0,0.354,89.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090.0,0.176,65.0,74,6,8.11,1.94 (1.61-2.26),68,91.89,3.04 (2.64-3.45),3.44,11.12
astrocytes 8,260.0,0.036,4.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,708.0,0.096,43.0,32,6,18.75,0.64 (0.21-1.08),26,81.25,3.96 (3.16-4.75),4.27,2.21
oligodendrocytes 10,1277.0,0.057,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.399,89.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,443.0,0.191,78.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,105.0,0.293,85.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.359,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.115,9.0,104,27,25.96,1.71 (1.38-2.04),77,74.04,3.31 (3.00-3.62),10.64,3.56
oligodendrocytes 0,2078.0,0.076,3.0,238,6,2.52,1.99 (1.14-2.84),232,97.48,3.69 (3.46-3.91),11.76,4.85
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.036,1.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.089,1.0,154,6,3.9,4.30 (2.94-5.67),148,96.1,3.20 (2.93-3.46),3.53,3.60
