tipo_celular,module_size,YES1_MM,YES1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.204,75.0,59,2,3.39,3.31 (NA-NA),57,96.61,3.10 (2.59-3.61),1.71,5.47
astrocytes 5,423.0,0.093,10.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91),3.17,5.07
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,29,8.22,2.07 (1.57-2.57),324,91.78,4.10 (3.92-4.28),24.47,6.60
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.375,97.0,141,8,5.67,2.27 (1.40-3.13),133,94.33,3.01 (2.76-3.25),3.62,7.01
oligodendrocytes 20,322.0,0.064,21.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,140.0,0.14,55.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,23,8.33,2.35 (1.88-2.82),253,91.67,3.69 (3.46-3.92),9.60,4.70
oligodendrocytes 10,2107.0,0.171,59.0,358,32,8.94,1.94 (1.47-2.41),326,91.06,4.11 (3.93-4.30),21.52,8.29
connective tissue cells 21,84.0,0.313,78.0,4,2,50.0,4.27 (3.87-4.67),2,50.0,4.47 (NA-NA),1.88,1.78
astrocytes 15,1768.0,0.082,46.0,105,13,12.38,1.82 (1.27-2.36),92,87.62,3.43 (3.07-3.78),5.57,3.75
oligodendrocytes 16,81.0,0.14,23.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.348,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.154,68.0,104,15,14.42,1.92 (1.34-2.49),89,85.58,3.04 (2.74-3.34),9.88,4.64
oligodendrocytes 0,2078.0,0.12,62.0,238,9,3.78,2.55 (1.92-3.19),229,96.22,3.69 (3.46-3.91),7.01,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.056,14.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.144,55.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
