tipo_celular,module_size,THBS4_MM,THBS4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.11,22.0,166,15,9.04,1.77 (1.26-2.28),151,90.96,3.59 (3.33-3.84),4.57,4.55
oligodendrocyte progenitor cells 7,4285.0,0.093,6.0,353,23,6.52,1.67 (1.13-2.22),330,93.48,4.09 (3.92-4.27),27.43,6.71
GABA neurons expressing GLU receptors 22,567.0,0.094,7.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.1,25.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.036,6.0,169,14,8.28,2.92 (1.91-3.94),155,91.72,3.52 (3.30-3.75),9.70,4.97
GABA like neurons 14,3052.0,0.179,82.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,727.0,0.124,60.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411.0,0.068,36.0,103,3,2.91,4.02 (2.39-5.65),100,97.09,5.61 (5.22-6.00),3.30,3.08
oligodendrocytes 10,1277.0,0.081,31.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.053,17.0,105,12,11.43,1.81 (1.19-2.44),93,88.57,3.41 (3.06-3.76),5.22,3.82
oligodendrocytes 16,113.0,0.288,91.0,10,1,10.0,2.80 (NA-NA),9,90.0,2.95 (2.05-3.86),2.34,1.83
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,63.0,0.241,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.141,32.0,96,5,5.21,2.34 (1.99-2.69),91,94.79,3.36 (3.01-3.70),2.15,4.44
oligodendrocytes 0,309.0,0.13,45.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.103,58.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.096,2.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
