tipo_celular,module_size,RBL1_MM,RBL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.132,31.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.096,21.0,136,5,3.68,1.40 (1.29-1.50),131,96.32,3.29 (3.01-3.56),7.69,4.89
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,39,11.05,1.90 (1.55-2.25),314,88.95,4.21 (4.04-4.39),24.25,6.05
GABA neurons expressing GLU receptors 22,599.0,0.101,5.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1247.0,0.117,37.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.139,57.0,133,35,26.32,2.02 (1.65-2.39),98,73.68,3.78 (3.42-4.15),5.16,3.81
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.059,17.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,2090.0,0.178,66.0,74,1,1.35,2.33 (NA-NA),73,98.65,2.95 (2.57-3.33),2.03,10.62
astrocytes 8,140.0,0.034,3.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,30,10.87,1.92 (1.60-2.25),246,89.13,3.80 (3.57-4.03),11.45,4.34
oligodendrocytes 10,2107.0,0.153,53.0,358,53,14.8,2.14 (1.81-2.47),305,85.2,4.28 (4.09-4.47),23.64,7.01
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.027,2.0,96,4,4.17,2.17 (1.17-3.16),92,95.83,3.69 (3.23-4.15),4.84,3.75
oligodendrocytes 16,121.0,0.413,98.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.272,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.124,16.0,104,19,18.27,1.59 (1.18-2.01),85,81.73,3.17 (2.88-3.47),12.71,3.76
oligodendrocytes 0,2078.0,0.113,48.0,238,5,2.1,2.49 (0.86-4.12),233,97.9,3.66 (3.44-3.88),5.57,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.066,21.0,87,33,37.93,2.07 (1.73-2.42),54,62.07,2.92 (2.56-3.28),5.44,3.51
oligodendrocytes 2,1630.0,0.114,8.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
