tipo_celular,module_size,RSU1_MM,RSU1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.135,12.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,727.0,0.117,30.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,322.0,0.082,4.0,58,5,8.62,2.47 (1.03-3.90),53,91.38,4.37 (3.96-4.78),2.12,2.34
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,8,2.27,1.04 (0.25-1.84),345,97.73,3.98 (3.79-4.16),38.83,7.35
GABA neurons expressing GLU receptors 22,714.0,0.208,64.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,380.0,0.261,93.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,82.0,0.396,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.188,53.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,250.0,0.294,78.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.104,16.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.041,7.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.102,47.0,32,7,21.88,1.88 (0.05-3.70),25,78.12,3.54 (2.67-4.41),3.53,2.34
oligodendrocytes 10,2107.0,0.319,91.0,358,13,3.63,1.15 (0.63-1.66),345,96.37,4.00 (3.81-4.19),21.73,9.01
connective tissue cells 21,91.0,0.229,19.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1401.0,0.125,79.0,96,5,5.21,2.85 (1.03-4.67),91,94.79,3.64 (3.18-4.10),3.99,3.79
oligodendrocytes 16,90.0,0.183,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.25,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.117,5.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.12,16.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.115,49.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.082,41.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.108,10.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
