tipo_celular,module_size,DDX31_MM,DDX31_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.263,82.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.096,11.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,25,7.08,1.78 (1.31-2.26),328,92.92,4.10 (3.92-4.28),29.72,6.41
GABA neurons expressing GLU receptors 22,203.0,0.371,86.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1316.0,0.101,29.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.097,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.042,9.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,15,5.43,2.07 (1.66-2.48),261,94.57,3.65 (3.43-3.88),13.82,4.61
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,106.0,0.275,38.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1401.0,0.067,32.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12),8.25,3.70
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.327,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.137,34.0,104,13,12.5,1.81 (1.25-2.38),91,87.5,3.03 (2.73-3.33),12.77,4.34
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.124,59.0,79,4,5.06,4.29 (2.64-5.93),75,94.94,3.03 (2.62-3.44),4.48,8.08
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
