tipo_celular,module_size,NHLRC3_MM,NHLRC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.088,6.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,624.0,0.166,62.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.126,67.0,136,6,4.41,2.46 (1.23-3.68),130,95.59,3.25 (2.97-3.52),6.26,4.93
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,58,16.43,2.67 (2.29-3.05),295,83.57,4.18 (3.98-4.37),18.83,5.95
GABA neurons expressing GLU receptors 22,567.0,0.241,69.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,1316.0,0.056,3.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,204.0,0.093,15.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.093,22.0,297,12,4.04,4.06 (3.15-4.97),285,95.96,3.66 (3.46-3.87),9.43,5.35
oligodendrocytes 20,233.0,0.26,75.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.128,40.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,771.0,0.079,30.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.118,53.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.071,14.0,358,61,17.04,2.62 (2.24-3.01),297,82.96,4.18 (3.98-4.38),22.40,6.82
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.088,52.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,86.0,0.231,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.322,51.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,1807.0,0.15,60.0,104,23,22.12,2.35 (1.84-2.86),81,77.88,3.02 (2.70-3.35),9.93,4.11
oligodendrocytes 0,479.0,0.122,25.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.111,53.0,161,47,29.19,2.44 (2.01-2.87),114,70.81,3.65 (3.34-3.96),8.13,4.32
oligodendrocytes 3,639.0,0.114,64.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,804.0,0.115,10.0,84,27,32.14,3.30 (2.74-3.86),57,67.86,2.41 (2.02-2.80),3.93,3.14
