tipo_celular,module_size,KLF15_MM,KLF15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.164,96.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,57,16.15,2.03 (1.78-2.28),296,83.85,4.36 (4.18-4.54),20.42,5.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,228.0,0.324,87.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.09,59.0,66,20,30.3,2.04 (1.49-2.59),46,69.7,3.87 (3.41-4.33),3.61,2.67
oligodendrocyte progenitor cells 12,1049.0,0.038,7.0,235,2,0.85,6.71 (3.64-9.79),233,99.15,3.79 (3.56-4.02),1.89,7.66
oligodendrocytes 10,1277.0,0.091,39.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.295,53.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1768.0,0.056,19.0,105,21,20.0,1.62 (1.27-1.96),84,80.0,3.60 (3.24-3.96),6.32,3.39
oligodendrocytes 16,107.0,0.298,91.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.247,13.0,3,3,100.0,NA,0,0.0,NA,1.65,NA
astrocytes 4,721.0,0.192,98.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.173,75.0,127,16,12.6,2.11 (1.76-2.46),111,87.4,3.25 (2.77-3.73),3.54,6.67
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.167,91.0,87,51,58.62,2.21 (1.96-2.45),36,41.38,3.21 (2.68-3.74),5.08,3.06
oligodendrocytes 2,1630.0,0.179,98.0,154,2,1.3,3.42 (2.03-4.82),152,98.7,3.24 (2.97-3.51),1.62,3.62
