tipo_celular,module_size,DIS3_MM,DIS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.237,83.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41),3.13,4.96
T cells 18,610.0,0.126,30.0,98,29,29.59,1.71 (1.32-2.10),69,70.41,3.81 (3.51-4.11),7.38,2.63
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,43,12.18,2.26 (1.79-2.73),310,87.82,4.20 (4.02-4.37),28.17,5.27
GABA neurons expressing GLU receptors 22,714.0,0.133,20.0,17,7,41.18,3.06 (2.47-3.64),10,58.82,1.78 (1.02-2.55),2.17,4.54
GLU like neurons 17,1316.0,0.124,51.0,101,3,2.97,2.73 (2.53-2.94),98,97.03,3.06 (2.70-3.43),2.39,3.07
da like neurons 11,71.0,0.119,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.087,11.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,250.0,0.237,69.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.112,27.0,125,2,1.6,5.37 (4.97-5.77),123,98.4,3.31 (2.99-3.64),2.11,8.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.035,5.0,276,30,10.87,2.30 (1.82-2.77),246,89.13,3.75 (3.52-3.98),14.20,4.00
oligodendrocytes 10,735.0,0.071,30.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,96.0,0.388,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.134,8.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.418,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.128,78.0,238,9,3.78,3.40 (2.11-4.68),229,96.22,3.65 (3.42-3.87),9.43,4.85
microglia 1,1615.0,0.089,21.0,161,39,24.22,1.88 (1.46-2.31),122,75.78,3.79 (3.53-4.06),11.66,3.44
oligodendrocytes 3,854.0,0.058,13.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.17,94.0,154,5,3.25,5.12 (4.19-6.05),149,96.75,3.17 (2.91-3.44),2.36,3.63
