tipo_celular,module_size,ALAD_MM,ALAD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.068,2.0,136,3,2.21,2.26 (0.99-3.53),133,97.79,3.23 (2.96-3.51),6.21,4.96
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.061,2.0,262,30,11.45,2.89 (2.29-3.50),232,88.55,4.30 (4.04-4.56),7.87,3.62
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.129,30.0,36,7,19.44,2.21 (1.60-2.83),29,80.56,1.84 (1.44-2.25),3.51,3.03
GABA like neurons 14,2402.0,0.124,16.0,455,51,11.21,2.97 (2.36-3.57),404,88.79,4.53 (4.35-4.72),18.37,7.63
astrocytes 8,1266.0,0.051,16.0,66,17,25.76,1.72 (1.15-2.30),49,74.24,3.86 (3.46-4.27),3.76,2.67
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.023,2.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.062,28.0,96,3,3.12,2.80 (1.77-3.84),93,96.88,3.64 (3.18-4.11),1.47,3.87
oligodendrocytes 16,85.0,0.476,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.445,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.165,75.0,61,5,8.2,3.38 (1.64-5.12),56,91.8,2.93 (2.50-3.35),2.80,6.31
oligodendrocytes 0,2078.0,0.102,25.0,238,5,2.1,2.96 (1.46-4.46),233,97.9,3.65 (3.43-3.88),6.79,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.044,4.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.171,95.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
